Latin name,Trophic Level,Medium,Taxonomic kingdom,Taxonomic phylum or division,Taxonomic subphylum,Taxonomic superclass,Taxonomic class,Taxonomic order,Taxonomic family
Chlamydomonas reinhardtii,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Chlamydomonadaceae
Chlorella fusca var vacuolata,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Chlorella sorokiniana,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Catostomus commersoni,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Catostomidae
Artemia salina,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Artemiidae
Palaemonetes sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Menidia beryllina,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Atheriniformes,Atherinidae
Atherinops affinis,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Atheriniformes,Atherinidae
Tanytarsus dissimilis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Orconectes immunis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Aplexa hypnorum,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Gammarus pseudolimnaeus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Tetrahymena pyriformis,INVERT,Freshwater,Animalia,Ciliophora,,,Ciliatea,Hymenostomatida,Tetrahymenidae
Tetrahymena thermophila,INVERT,Freshwater,Animalia,Ciliophora,,,Ciliatea,Hymenostomatida,Tetrahymenidae
Skeletonema costatum,ALGAE,Saltwater,Chromista,Bacillariophyta,,,Coscinodiscophyceae,Thalassiosirales,Skeletonemaceae
Culex pipiens ssp. quinquefasciata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Melanopsis dufouri,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Mesogastropoda,Melanopsidae
Procambarus clarkii,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Chlorella vulgaris,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Daphnia sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Anopheles farauti,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Dunaliella salina,ALGAE,Saltwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Dunaliellaceae
Acroneuria pacifica,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlidae
Isogenus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlodidae
Isochrysis galbana,ALGAE,Saltwater,Plantae,Haptophyta,,,Prymnesiophyceae,Isochrysidales,Isochrysidaceae
Thalassiosira pseudonana,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae
Leiostomus xanthurus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Sciaenidae
Anguilla anguilla,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Anguilliformes,Anguillidae
Streptocephalus torvicornis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Streptocephalidae
Cichlasoma urophthalmus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Microcystis wesenbergii,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Skwala sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlodidae
Macrobrachium rosenbergii,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Perca fluviatilis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Oncorhynchus salar,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Oncorhynchus trutta,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Filinia longiseta,INVERT,Freshwater,Animalia,Rotifera,,,Monogonta,Flosculariaceae,Filinidae
Keratella quadrata,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Brachionus plicatilis,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Pila globosa,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Architaenioglossa,Ampullariidae
Lymnaea acuminata,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Lymnaeidae
Chironomus tepperi,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Anabaena flos-aquae,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Dugesia dorotocephala,INVERT,Freshwater,Animalia,Platyhelminthes,,,Turbellaria,Tricladida,Planariidae
Gammarus limnaeus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Chironomus crassicaudatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Tanytarsus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Glyptotendipes paripes,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Chironomus decorus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Goeldichironomus holoprasinus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Chironomus salinarius,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Aedes albopictus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Chironomus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Cricotopus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Chironomus utahensis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Dicrotendipes californicus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Gammarus pulex,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Chauliodes sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Megaloptera,Corydalidae
Lymnaea stagnalis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Lymnaeidae
Aedes taeniorhynchus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Culex nigripalpus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Navicula pelliculosa,ALGAE,Freshwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Pennales,Naviculaceae
Penaeus aztecus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Moina macrocopa,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Cladocera,Moinidae
Anopheles albimanus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Asellus hilgendorfi,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Culicoides sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Ceratopogonidae
Orconectes limosus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Barbus gonionotus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Anopheles gambiae,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Lamellidens marginalis,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Lamellidens corrianus,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Acheilognathus moriokae,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Tilapia leucosticta,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Tilapia rendalli,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Poecilia sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Brevoortia patronus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae
Centropomus undecimalis,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centropomidae
Cynoscion nebulosus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Sciaenidae
Acartia tonsa,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Acartiidae
Triops longicaudatus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Notostraca,Triopsidae
Anopheles freeborni,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Asellus militaris,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Hydra littoralis,INVERT,Freshwater,Animalia,Cnidaria,,,Hydrozoa,Hydroida,Hydridae
Rana catesbeiana,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Rana palustris,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Haematococcus pluvialis,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Haematococcaceae
Chlorohydra viridissima,INVERT,Freshwater,Animalia,Cnidaria,,,Hydrozoa,Hydroida,Hydridae
Mytilus edulis,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Mytiloida,Mytilidae
Biomphalaria glabrata,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Planorbidae
Rana temporaria,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Saccostrea cuccullata,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Ostreoida,Ostreidae
Perna viridis,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Mytiloida,Mytilidae
Mytilopsis sallei,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Dreissenidae
Balanus amphitrite,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Sessilia,Balanidae
Macrocystis pyrifera,ALGAE,Saltwater,Chromista,Phaeophyta,,,Phaeophyceae,Laminariales,Lessoniaceae
Mercenaria mercenaria,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Veneridae
Hormosira banksii,ALGAE,Freshwater,Chromista,Ochrophyta,,,Phaeophycaea,Fucales,Hormosiraceae
Porphyra yezoensis,ALGAE,Saltwater,Plantae,Rhodophycota,,,Rhodophyceae,Bangiales,Bangiaceae
Chlorella pyrenoidosa,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Scenedesmus pannonicus,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Gasterosteus aculeatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Gasterosteiformes,Gasterosteidae
Dunaliella sp,ALGAE,Saltwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Dunaliellaceae
Thalassiosira guillardii,ALGAE,Saltwater,Chromista,Bacillariophyta,,,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae
Bellerochea polymorpha,ALGAE,Saltwater,Chromista,Bacillariophyta,,,Coscinodiscophyceae,Hemiaulales,Bellerocheaceae
Phaeodactylum tricornutum,ALGAE,Saltwater,Chromista,Bacillariophyta,,,Bacillariophyceae,Naviculales,Phaeodactylaceae
Arenicola cristata,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Capitellida,Arenicolidae
Tropisternus lateralis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Hydrophilidae
Thermonectus basillaris,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Culex tarsalis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Laccophilus decipiens,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Hydrophilus triangularis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Hydrophilidae
Hygrotus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Belostoma sp,INVERT,Freshwater,Animalia,Arthropoda,,,Insecta,Hemiptera,Belostomatidae
Notropis ludibundis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Stenonema vicarium,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Heptageniidae
Stenonema femoratum,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Heptageniidae
Allocapnia sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Capniidae
Cheumatopsyche sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Hydropsychidae
Arenicola marina,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Capitellida,Arenicolidae
Asellus aquaticus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Cloeon dipterum,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Baetidae
Notonecta sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Notonectidae
Dugesia lugubris,INVERT,Freshwater,Animalia,Platyhelminthes,,,Turbellaria,Tricladida,Planariidae
Erpobdella octoculata,INVERT,Freshwater,Animalia,Annelida,,,Clitellata,Arhynchobdellida,Erpobdellidae
Gambusia sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Pseudechinus magellanicus,INVERT,Saltwater,Animalia,Echinodermata,Echinozoa,,Echinoidea,Temnopleuroida,Temnopleuridae
Procambarus sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Gammarus fossarum,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Lepidocephalichthys thermalis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cobitidae
Tilapia aurea,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Chasmagnathus granulata,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Grapsidae
Uca uruguayensis,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Ocypodidae
Anopheles quadrimaculatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Limnephilus bipunctatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Limnephilidae
Limnephilus lunatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Limnephilidae
Labeo fimbriatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Crassostrea virginica,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Ostreoida,Ostreidae
Crassostrea gigas,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Ostreoida,Ostreidae
Scenedesmus intermedius,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Colpidium campylum,INVERT,Freshwater,Animalia,Ciliophora,,,Ciliatea,Hymenostomatida,Tetrahymenidae
Microcystis sp,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Selenastrum sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Sphaeropleales,Selenastraceae
Microcystis aeruginosa,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Dugesia tigrina,INVERT,Freshwater,Animalia,Platyhelminthes,,,Turbellaria,Tricladida,Planariidae
Asellus sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Ambystoma sp,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Caudata,Ambystomatidae
Etheostoma caeruleum,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Sida crystallina,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Cladocera,Sididae
Rutilus rutilus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Gobiocypris rarus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Pelteobagrus fulvidraco,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae
Anodonta imbecillis,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Hypophthalmichthys molitrix,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Mystus vittatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae
Anabas testudineus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Anabantidae
Barbus ticto,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Chydorus ovalis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Chydoridae
Tilapia galilaea,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Scenedesmus abundans,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Penaeus setiferus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Streptocephalus rubricaudatus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Streptocephalidae
Streptocephalus texanus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Streptocephalidae
Anabaena variabilis,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Nostoc commune,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Anabas scandens,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Anabantidae
Leuctra moselyi,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Leuctridae
Protonemura meyeri,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Nemouridae
Hydropsyche angustipennis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Hydropsychidae
Physa fontinalis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Polycelis tenuis,INVERT,Freshwater,Animalia,Platyhelminthes,,,Turbellaria,Tricladida,Planariidae
Barbus sophore,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Puntius sophore,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Lithodes antarcticus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Lithodidae
Phoxinus phoxinus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Gobio gobio,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Gobiidae
Sigara striata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Corixidae
Baetis sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Baetidae
Paracheirodon axelrodi,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Characiformes,Characidae
Caridina rajdhari,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Atyidae
Limnodrilus hoffmeisteri,INVERT,Freshwater,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Tubificidae
Colisa lalia,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Osphronemidae
Mytilus galloprovincialis,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Mytiloida,Mytilidae
Bellerochea malleus,ALGAE,Saltwater,Chromista,Bacillariophyta,,,Coscinodiscophyceae,Hemiaulales,Bellerocheaceae
Eurypanopeus depressus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Xanthidae
Garra gotyla ssp gotyla,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Egeria radiata,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Donacidae
Monhystera disjuncta,INVERT,Saltwater,Animalia,Nemata,,,Adenophorea,Monhysterida,Monhysteridae
Brachionus angularis,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Brachionus rubens,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Macropodus opercularis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Anabantidae
Mugil saliens,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Mugiliformes,Mugilidae
Hypophthalmichthys nobilis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Rivulus marmoratus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Aplocheilidae
Daphnia galeata,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Keratella cochlearis,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Polyarthra sp,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Synchaetidae
Mya arenaria,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Myoida,Myidae
Jordanella floridae,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Cyclops strenuus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Cyclopoida,Cyclopidae
Bulinus truncatus,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Cephalaspidea,Bullinidae
Biomphalaria alexandrina,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Planorbidae
Synechocystis sp,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Nostoc sp,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Clarias gariepinus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Clariidae
Baetis rhodani,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Baetidae
Hydropsyche siltalai,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Hydropsychidae
Heptagenia sulphurea,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Heptageniidae
Prochilodus lineatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Characiformes,Curimatidae
Thiara lineata,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Thiaridae
Thiara scabra,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Thiaridae
Salvelinus alpinus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Artemia sp,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Artemiidae
Mystus keletius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae
Chlamydomonas noctigama,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Chlamydomonadaceae
Catla catla,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Nostoc muscorum,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Synechococcus leopoliensis,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Chroococcales,Chroococcaceae
Barbus conchonius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Pandalus montagui,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Pandalidae
Channa orientalis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Channidae
Anabaena sp,ALGAE,Freshwater,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae
Chlamydomonas sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Chlamydomonadaceae
Chlorella ovalis,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Pomatoschistus microps,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Gobiidae
